Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
6,El Mesaoudi Sufian,Receptor,185.0,2003,331.0,320.0,72-2023-2024,2023-2024,6-2023-2024
7,Portero Losilla Andres Francisco,Colocador/a,184.0,1991,310.0,310.0,73-2023-2024,2023-2024,6-2023-2024
9,Lopez Alacio David,Middle-blocker,198.0,2000,343.0,345.0,74-2023-2024,2023-2024,6-2023-2024
10,Hamed Benali Samir,Libero,168.0,2000,0.0,0.0,75-2023-2024,2023-2024,6-2023-2024
11,Mimoun Chakrani Azddin,Middle-blocker,195.0,2004,380.0,360.0,76-2023-2024,2023-2024,6-2023-2024
16,Monteagudo del Pueblo Joaquin,Middle-blocker,197.0,1996,345.0,335.0,77-2023-2024,2023-2024,6-2023-2024
22,Pereyra Hernan Federico,Opuesto,200.0,1988,345.0,330.0,78-2023-2024,2023-2024,6-2023-2024
24,Giustiniano Mariano Ariel,Receptor,190.0,1986,355.0,345.0,79-2023-2024,2023-2024,6-2023-2024
28,Riganti Juan Martin,Colocador/a,188.0,1988,330.0,320.0,80-2023-2024,2023-2024,6-2023-2024
87,Martina Federico,Opuesto,202.0,1992,348.0,328.0,81-2023-2024,2023-2024,6-2023-2024
1,Valquintans Kulakauskas Joao G.,Receptor,196.0,1985,0.0,0.0,82-2023-2024,2023-2024,6-2023-2024
2,Camacho Nahuel,Middle-blocker,192.0,1996,0.0,0.0,83-2023-2024,2023-2024,6-2023-2024
3,Almeida Ortega Eric Javier,Receptor,186.0,2001,0.0,0.0,84-2023-2024,2023-2024,6-2023-2024
4,Villar Rodriguez Mario,Colocador/a,187.0,2002,0.0,0.0,85-2023-2024,2023-2024,6-2023-2024
5,Dos Santos Cezar Moises,Middle-blocker,204.0,1983,0.0,0.0,86-2023-2024,2023-2024,6-2023-2024
6,Castaneda Yanguas Daniel,Colocador/a,190.0,1975,0.0,0.0,87-2023-2024,2023-2024,6-2023-2024
7,Loeches Buitrago Guillermo,Colocador/a,180.0,1996,0.0,0.0,88-2023-2024,2023-2024,6-2023-2024
8,Cardenes Arocha Jonathan,Receptor,185.0,1985,0.0,0.0,89-2023-2024,2023-2024,7-2023-2024
10,Gallardo Hernandez Rodrigo,Libero,182.0,1999,0.0,0.0,90-2023-2024,2023-2024,7-2023-2024
11,Ponce Fiol Jorge,Middle-blocker,193.0,2000,0.0,0.0,91-2023-2024,2023-2024,7-2023-2024
14,Dahl Ulrik Bo,Opuesto,201.0,2000,0.0,0.0,92-2023-2024,2023-2024,7-2023-2024
15,Leon Sanchez Antonio,Opuesto,187.0,2005,0.0,0.0,93-2023-2024,2023-2024,7-2023-2024
20,Rodriguez Caceres Nicolas Omar,Middle-blocker,191.0,2004,0.0,0.0,94-2023-2024,2023-2024,7-2023-2024
2,Salvador Esteban Manuel,Receptor,0.0,1986,0.0,0.0,95-2023-2024,2023-2024,8-2023-2024
4,Zazo Miloserdova Tomas,Opuesto,0.0,2004,0.0,0.0,96-2023-2024,2023-2024,8-2023-2024
5,Lorente Lopez Lucas,Colocador/a,0.0,2001,0.0,0.0,97-2023-2024,2023-2024,8-2023-2024
6,Flores Fabian Emanuel,Middle-blocker,0.0,1991,0.0,0.0,98-2023-2024,2023-2024,8-2023-2024
7,Olalla Gomez Adrian,Receptor,0.0,2001,0.0,0.0,99-2023-2024,2023-2024,8-2023-2024
8,Belda de Vial Luke,Receptor,0.0,2003,0.0,0.0,100-2023-2024,2023-2024,8-2023-2024
9,Villalba Zamorano Jose,Receptor,0.0,2000,0.0,0.0,101-2023-2024,2023-2024,8-2023-2024
10,San Martin Rodriguez Alejandro,Libero,0.0,1994,0.0,0.0,102-2023-2024,2023-2024,8-2023-2024
11,Sanchis Ignasi,Colocador/a,0.0,2002,0.0,0.0,103-2023-2024,2023-2024,8-2023-2024
13,Jimenez Abeytua Rodrigo,Libero,0.0,2005,0.0,0.0,104-2023-2024,2023-2024,8-2023-2024
14,Aulisi Santiago Karim,Receptor,0.0,1996,0.0,0.0,105-2023-2024,2023-2024,8-2023-2024
16,Santos Cunha Bruno,Opuesto,0.0,1997,0.0,0.0,106-2023-2024,2023-2024,8-2023-2024
20,Domenech Tous Joan,Middle-blocker,0.0,2001,0.0,0.0,107-2023-2024,2023-2024,8-2023-2024
21,Tenorio Capeloci Davi,Middle-blocker,0.0,2005,0.0,0.0,108-2023-2024,2023-2024,8-2023-2024
0,Aparicio Conejos Moises,0,0.0,2007,0.0,0.0,109-2023-2024,2023-2024,9-2023-2024
0,Aranda Gallardo Diego,0,0.0,2008,0.0,0.0,110-2023-2024,2023-2024,9-2023-2024
0,Cote Cardenas Mario,0,0.0,2006,0.0,0.0,111-2023-2024,2023-2024,9-2023-2024
0,Hernandez Sanchez Pedro,0,0.0,2006,0.0,0.0,112-2023-2024,2023-2024,9-2023-2024
0,Martin Torres Ramon,0,0.0,2007,0.0,0.0,113-2023-2024,2023-2024,9-2023-2024
0,Montero Lopez Alvaro,0,0.0,2006,0.0,0.0,114-2023-2024,2023-2024,9-2023-2024
0,Pinazo Calomarde Jose,0,0.0,2006,0.0,0.0,115-2023-2024,2023-2024,9-2023-2024
1,Lorente Camacho Ruben,Colocador/a,188.0,1998,245.0,241.0,116-2023-2024,2023-2024,9-2023-2024
5,Mendez Jimenez Victor,Middle-blocker,199.0,1997,255.0,252.0,117-2023-2024,2023-2024,9-2023-2024
7,Martinez Palacios Miguel Angel,Opuesto,197.0,2003,265.0,259.0,118-2023-2024,2023-2024,9-2023-2024
8,Ferrandez Moles Emilio,Receptor,195.0,2001,225.0,252.0,119-2023-2024,2023-2024,9-2023-2024
9,Tellez Rodriguez Axel,Middle-blocker,202.0,1999,266.0,264.0,120-2023-2024,2023-2024,9-2023-2024
10,Zelayeta Mauro Rafael,Receptor,195.0,2000,254.0,251.0,121-2023-2024,2023-2024,9-2023-2024
11,Pont Perello Guillem,Colocador/a,177.0,2002,228.0,224.0,122-2023-2024,2023-2024,9-2023-2024
16,Valino Sanz Isaac,Receptor,190.0,1999,244.0,240.0,123-2023-2024,2023-2024,9-2023-2024
17,Igual Rabanete Javier,Opuesto,183.0,2002,240.0,236.0,124-2023-2024,2023-2024,9-2023-2024
18,Gamiz Padilla Aharon,Libero,180.0,1988,229.0,226.0,125-2023-2024,2023-2024,9-2023-2024
20,Vildosola Mariano,Receptor,192.0,1991,248.0,246.0,126-2023-2024,2023-2024,9-2023-2024
