Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_equipo,id_jugador,temporada
0,Aparicio Conejos Moisés,-,0,2007,0,0,9,109,2023-2024
0,Aranda Gallardo Diego,-,0,2008,0,0,9,110,2023-2024
0,Cote Cárdenas Mario,-,0,2006,0,0,9,111,2023-2024
0,Hernández Sánchez Pedro,-,0,2006,0,0,9,112,2023-2024
0,Martín Torres Ramón,-,0,2007,0,0,9,113,2023-2024
0,Montero López Álvaro,-,0,2006,0,0,9,114,2023-2024
0,Pinazo Calomarde José,-,0,2006,0,0,9,115,2023-2024
1,Lorente Camacho Rubén,Colocador/a,188,1998,245,241,9,116,2023-2024
5,Méndez Jiménez Víctor,Middle-blocker,199,1997,255,252,9,117,2023-2024
7,Martínez Palacios Miguel Ángel,Opuesto,197,2003,265,259,9,118,2023-2024
8,Ferrández Moles Emilio,Receptor,195,2001,225,252,9,119,2023-2024
9,Téllez Rodríguez Axel,Middle-blocker,202,1999,266,264,9,120,2023-2024
10,Zelayeta Mauro Rafael,Receptor,195,2000,254,251,9,121,2023-2024
11,Pont Perello Guillem,Colocador/a,177,2002,228,224,9,122,2023-2024
16,Valiño Sanz Isaac,Receptor,190,1999,244,240,9,123,2023-2024
17,Igual Rabanete Javier,Opuesto,183,2002,240,236,9,124,2023-2024
18,Gámiz Padilla Aharón,Líbero,180,1988,229,226,9,125,2023-2024
20,Vildosola Mariano,Receptor,192,1991,248,246,9,126,2023-2024
22,Fresquet Barceló Xavier,Middle-blocker,200,2003,254,251,10,127,2023-2024
1,Carreño Millón Marco,Receptor,192,2004,0,0,10,128,2023-2024
2,Viera Iglesias Álvaro,Opuesto,194,2003,0,0,10,129,2023-2024
3,Rodríguez Pérez Víctor,Receptor,199,0,0,0,10,130,2023-2024
4,Moya Berenguel Alejandro,Líbero,175,2004,0,0,10,131,2023-2024
5,Fernández Martínez Francisco José,Líbero,177,1995,0,0,10,132,2023-2024
7,Bertassoni Paulo Renan,Colocador/a,185,1985,0,0,10,133,2023-2024
8,Fernández Jorge,Middle-blocker,202,1989,0,0,10,134,2023-2024
9,Neaves Matthew Michael,Opuesto,207,2000,0,0,10,135,2023-2024
10,Ruiz Garrido Francisco José,Receptor,178,1991,0,0,10,136,2023-2024
11,Fernández López Fernando,Middle-blocker,200,1997,0,0,10,137,2023-2024
12,Vizcaino Gallardo Javier,Colocador/a,191,2003,0,0,10,138,2023-2024
14,Ruiz Mira Borja,Middle-blocker,200,1992,0,0,10,139,2023-2024
1,Nieves Suárez Carlos,Receptor,203,2004,342,312,11,140,2023-2024
2,Grossi Anderson,Middle-blocker,204,1994,350,338,11,141,2023-2024
3,Funes Facundo Jesús,Receptor,183,1994,334,307,11,142,2023-2024
4,Monfort Minaya Javier,Receptor,196,1990,346,320,11,143,2023-2024
5,Allen Serrano Luis Vidal,Middle-blocker,200,2001,360,345,11,144,2023-2024
7,Mengod Bautista Fernando,Receptor,184,1993,326,293,11,145,2023-2024
10,Huerta Fabregat José Ignacio,Colocador/a,179,1998,322,292,11,146,2023-2024
12,Monfort Minaya Vicente,Colocador/a,185,1988,328,305,11,147,2023-2024
14,Pérez Lledó Pablo,Opuesto,198,2004,340,311,11,148,2023-2024
15,Dangel Mulen Armando,Opuesto,192,1989,340,320,11,149,2023-2024
18,Iborra Ballester Héctor,Líbero,179,2003,306,280,11,150,2023-2024
20,Postemsky Ivan,Middle-blocker,203,1992,334,315,11,151,2023-2024
21,Mengod Bautista Javier,Líbero,184,1996,315,285,11,152,2023-2024
22,Rabell Trullenque Carlos,Middle-blocker,189,2022,336,322,11,153,2023-2024
1,Da Cruz Neto Walter,Middle-blocker,202,1989,350,340,12,154,2023-2024
2,Lynard Oskar,Middle-blocker,0,1999,0,0,12,155,2023-2024
4,García Borrás Héctor,Colocador/a,179,1998,315,299,12,156,2023-2024
5,Grau Canto Joaquín José,Líbero,188,2004,0,0,12,157,2023-2024
7,Amorós Martín Arel,Middle-blocker,186,2007,343,313,12,158,2023-2024
9,Quesada Gómez Justo,Receptor,188,2007,338,315,12,159,2023-2024
10,Piqueres Flor Nestor,Líbero,174,1995,0,0,12,160,2023-2024
11,Piqueres Flor Eder,Colocador/a,174,1995,302,282,12,161,2023-2024
13,Pla Sánchez Alfredo,Receptor,176,2002,0,0,12,162,2023-2024
14,Osorio Recordá Gerard,Opuesto,198,1993,350,340,12,163,2023-2024
15,Marí Domene Álvaro,Middle-blocker,198,2002,333,315,12,164,2023-2024
17,Martínez Gómez Sergio,Opuesto,190,2002,329,309,12,165,2023-2024
20,Hernández Robeff Tomás Agustín,Receptor,190,1998,329,308,12,166,2023-2024
23,Jiménez Gallego Carlos,Receptor,193,1995,346,320,12,167,2023-2024
77,Fernández Rodríguez Francisco,Receptor,0,1996,0,0,12,168,2023-2024
