fecha,hora,equipo_local,resultado,equipo_visitante,id_equipo_local,id_equipo_visitante,id_jornada,id
2024-03-02,18:30:00,Pamesa Teruel Voleibol ,0-0,CV Melilla,9,6,20,120
2024-03-09,19:30:00,Pamesa Teruel Voleibol ,0-0,Unicaja Costa de Almería,9,10,21,121
2024-03-09,19:30:00,CV Melilla ,0-0,UPV Leleman Conqueridor,6,11,21,122
2024-03-09,18:30:00,CV Guaguas ,0-0,Club Vóley Palma,5,3,21,123
2024-03-09,19:30:00,Arenal Emevé ,0-0,Volei Villena Petrer,1,12,21,124
2024-03-09,19:30:00,Conectabalear CV Manacor ,0-0,CV San Roque,4,7,21,125
2024-03-09,19:30:00,Grupo Herce Soria ,0-0,Cisneros Alter Tenerife,8,2,21,126
2024-03-16,19:30:00,Unicaja Costa de Almería ,0-0,Grupo Herce Soria,10,8,22,127
2024-03-16,18:30:00,Cisneros Alter Tenerife ,0-0,Conectabalear CV Manacor,2,4,22,128
2024-03-16,18:30:00,CV San Roque ,0-0,Arenal Emevé,7,1,22,129
2024-03-16,19:30:00,Volei Villena Petrer ,0-0,CV Guaguas,12,5,22,130
2024-03-16,19:30:00,Club Vóley Palma ,0-0,CV Melilla,3,6,22,131
2024-03-16,19:30:00,UPV Leleman Conqueridor ,0-0,Pamesa Teruel Voleibol,11,9,22,132
