Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
69,Cheng-Yang Wu,Middle-blocker,189.0,1992,0.0,0.0,147-2022-2023,2022-2023,10-2022-2023
1,Carreño Millón Marco,Receptor,193.0,2004,0.0,0.0,148-2022-2023,2022-2023,11-2022-2023
2,Torres Gómez Antonio,Receptor,183.0,2004,0.0,0.0,149-2022-2023,2022-2023,11-2022-2023
3,Rodríguez Pérez Víctor,Receptor,199.0,0,0.0,0.0,150-2022-2023,2022-2023,11-2022-2023
4,González Limón Juan Manuel,Receptor,193.0,1994,0.0,0.0,151-2022-2023,2022-2023,11-2022-2023
5,Dos Santos Cezar Moises,Middle-blocker,207.0,1983,0.0,0.0,152-2022-2023,2022-2023,11-2022-2023
6,Bakonji Bernard,Colocador/a,200.0,1997,0.0,0.0,153-2022-2023,2022-2023,11-2022-2023
7,Portero Losilla Andrés Francisco,Colocador/a,183.0,1991,0.0,0.0,154-2022-2023,2022-2023,11-2022-2023
8,Fernández Jorge,Middle-blocker,202.0,1989,0.0,0.0,155-2022-2023,2022-2023,11-2022-2023
9,Ferreira Marco,Opuesto,203.0,1987,0.0,0.0,156-2022-2023,2022-2023,11-2022-2023
10,García Asensio Raúl,Receptor,183.0,2003,0.0,0.0,157-2022-2023,2022-2023,11-2022-2023
11,Delós Torrens Pau,Middle-blocker,198.0,2004,0.0,0.0,158-2022-2023,2022-2023,11-2022-2023
12,Vizcaino Gallardo Javier,Colocador/a,191.0,2003,0.0,0.0,159-2022-2023,2022-2023,11-2022-2023
14,Moya Berenguel Alejandro,Líbero,175.0,2004,0.0,0.0,160-2022-2023,2022-2023,11-2022-2023
15,Fernández Martínez Francisco José,Líbero,177.0,1995,0.0,0.0,161-2022-2023,2022-2023,11-2022-2023
16,Martínez Maqueda Ruben,Receptor,185.0,2003,0.0,0.0,162-2022-2023,2022-2023,11-2022-2023
17,Giménez Hernández José María,Receptor,185.0,1995,0.0,0.0,163-2022-2023,2022-2023,11-2022-2023
1,Redonda Camaño David,Receptor,180.0,1998,315.0,300.0,164-2022-2023,2022-2023,12-2022-2023
2,Pantaleao Luiz Felipe,Opuesto,195.0,1998,330.0,315.0,165-2022-2023,2022-2023,12-2022-2023
3,Rodrigues Dos Santos Felipe,Colocador/a,194.0,1991,310.0,300.0,166-2022-2023,2022-2023,12-2022-2023
6,Sanchis Ignasi,Colocador/a,187.0,2002,300.0,300.0,167-2022-2023,2022-2023,12-2022-2023
7,De Carvalho Cavalcante Gabriel,Receptor,199.0,1999,335.0,320.0,168-2022-2023,2022-2023,12-2022-2023
7,Peemuller Richard Willi,Opuesto,199.0,1998,321.0,342.0,169-2022-2023,2022-2023,12-2022-2023
8,Sánchez Cano Víctor,Líbero,184.0,1990,290.0,280.0,170-2022-2023,2022-2023,12-2022-2023
9,Rubín Víctor,Líbero,170.0,2001,280.0,270.0,171-2022-2023,2022-2023,12-2022-2023
10,Marcarini Raphael,Receptor,203.0,1997,330.0,320.0,172-2022-2023,2022-2023,12-2022-2023
11,Campos Canals Miquel,Middle-blocker,187.0,2001,325.0,315.0,173-2022-2023,2022-2023,12-2022-2023
12,Corona Mediavilla Fabián,Receptor,185.0,2003,310.0,305.0,174-2022-2023,2022-2023,12-2022-2023
13,Calzón Algaba Francisco José,Middle-blocker,198.0,1992,330.0,320.0,175-2022-2023,2022-2023,12-2022-2023
14,Frías Collado Juan Francisco,Middle-blocker,198.0,2000,325.0,315.0,176-2022-2023,2022-2023,12-2022-2023
17,Rodríguez Bonilla Roberto,Receptor,190.0,2000,335.0,320.0,177-2022-2023,2022-2023,12-2022-2023
